tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
TR020-Ba	TR020-Ba:LP-DIR-T	TR020-B				HT1	150.4	-62.1	2	15	0	0.0	1.8	959	913	K		hargrave 2018-02-14 12:22:22	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				LT1	227.8	34.3	2	6	-1	134.0	3.2	673	273	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				HT1	15.9	-21.0	2	19	-1	0.0	4.1	957	848	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				LT1	356.3	51.9	2	6	0	134.0	3.2	673	273	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				HT1	119.5	-66.7	2	19	0	0.0	4.1	957	848	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				LT1	354.1	62.3	2	6	100	134.0	3.2	673	273	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ca	TR020-Ca:LP-DIR-T	TR020-C				HT1	94.0	-69.2	2	19	100	0.0	4.1	957	848	K		hargrave 2018-02-14 16:45:12	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				LT1	7.1	54.7	2	5	100	145.1	9.5	673	373	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				LT1	231.5	26.8	2	5	-1	145.1	9.5	673	373	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				HT1	21.4	-10.9	2	21	-1	0.0	5.2	957	838	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				LT1	6.4	44.2	2	5	0	145.1	9.5	673	373	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				HT1	140.6	-64.8	2	21	0	0.0	5.2	957	838	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Da	TR020-Da:LP-DIR-T	TR020-D				HT1	119.7	-71.2	2	21	100	0.0	5.2	957	838	K		hargrave 2018-02-14 16:48:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				HT1	157.9	-61.2	2	25	100	0.0	2.2	961	828	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				HT1	163.9	-51.5	2	25	0	0.0	2.2	961	828	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				LT1	0.5	53.8	2	5	100	161.7	11.7	623	273	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				HT1	57.0	-42.1	2	25	-1	0.0	2.2	961	828	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				LT1	1.0	43.4	2	5	0	161.7	11.7	623	273	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ea	TR020-Ea:LP-DIR-T	TR020-E				LT1	256.1	43.9	2	5	-1	161.7	11.7	623	273	K		hargrave 2018-02-14 12:31:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				LT1	8.9	61.0	2	5	100	128.7	22.7	623	273	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				HT1	67.8	-75.5	2	19	0	0.0	3.0	961	873	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				HT1	41.9	-68.8	2	19	100	0.0	3.0	961	873	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				HT1	358.3	-13.6	2	19	-1	0.0	3.0	961	873	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				LT1	226.0	35.7	2	5	-1	128.7	22.7	623	273	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Fa	TR020-Fa:LP-DIR-T	TR020-F				LT1	7.5	50.6	2	5	0	128.7	22.7	623	273	K		hargrave 2018-02-14 16:50:06	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				LT1	218.5	25.8	2	3	-1	134.9	15.2	573	373	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				HT1	15.3	4.8	2	17	-1	0.0	6.6	961	903	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				LT1	31.2	53.9	2	3	0	134.9	15.2	573	373	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				HT1	137.1	-61.8	2	17	0	0.0	6.6	961	903	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				LT1	40.4	62.7	2	3	100	134.9	15.2	573	373	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ga	TR020-Ga:LP-DIR-T	TR020-G				HT1	118.5	-67.9	2	17	100	0.0	6.6	961	903	K		hargrave 2018-02-14 16:51:36	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				HT1	346.3	-63.6	2	23	100	0.0	2.7	961	838	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				HT1	336.3	-73.4	2	23	0	0.0	2.7	961	838	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				LT1	4.3	53.6	2	4	100	114.6	17.0	623	373	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				HT1	341.9	-38.6	2	23	-1	0.0	2.7	961	838	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				LT1	229.9	17.8	2	4	-1	114.6	17.0	623	373	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Ha	TR020-Ha:LP-DIR-T	TR020-H				LT1	4.1	43.1	2	4	0	114.6	17.0	623	373	K		hargrave 2018-02-14 16:54:41	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				LT1	201.3	49.8	2	3	-1	163.6	6.9	473	273	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				HT1	18.3	-43.1	2	8	-1	0.0	2.8	961	947	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				LT1	357.1	56.6	2	3	0	163.6	6.9	473	273	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				HT1	171.8	-63.1	2	8	0	0.0	2.8	961	947	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				LT1	354.6	67.0	2	3	100	163.6	6.9	473	273	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ia	TR020-Ia:LP-DIR-T	TR020-I				HT1	165.1	-73.3	2	8	100	0.0	2.8	961	947	K		hargrave 2018-02-14 12:38:57	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				HT1	139.9	-88.1	2	12	100	0.0	2.9	961	933	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				LT1	2.2	71.9	2	4	100	154.9	14.3	573	273	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				HT1	176.9	-78.1	2	12	0	0.0	2.9	961	933	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				HT1	9.9	-28.9	2	12	-1	0.0	2.9	961	933	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				LT1	204.4	40.8	2	4	-1	154.9	14.3	573	273	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR020
TR020-Ja	TR020-Ja:LP-DIR-T	TR020-J				LT1	2.6	61.4	2	4	0	154.9	14.3	573	273	K		hargrave 2018-02-14 12:40:21	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				LT1	47.2	49.8	2	4	100	38.3	1.1	623	373	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				LT1	221.7	47.2	2	4	-1	38.3	1.1	623	373	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				HT1	83.5	40.5	2	7	-1	0.0	8.2	965	953	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				LT1	8.7	48.9	2	4	0	38.3	1.1	623	373	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				HT1	102.2	10.1	2	7	0	0.0	8.2	965	953	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Aa	TR022-Aa:LP-DIR-T	TR022-A				HT1	101.4	-20.1	2	7	100	0.0	8.2	965	953	K		hargrave 2018-03-02 11:52:59	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				HT1	175.3	-26.5	2	10	100	0.0	7.6	965	947	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				HT1	167.6	-6.7	2	10	0	0.0	7.6	965	947	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				LT1	50.3	52.2	2	5	100	61.8	3.0	673	373	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				HT1	100.4	-31.2	2	10	-1	0.0	7.6	965	947	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				LT1	219.8	53.8	2	5	-1	61.8	3.0	673	373	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Ba	TR022-Ba:LP-DIR-T	TR022-B				LT1	7.7	52.0	2	5	0	61.8	3.0	673	373	K		hargrave 2018-03-02 11:56:08	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				LT1	209.0	44.2	2	4	-1	28.9	3.1	673	373	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				HT1	35.2	-70.2	2	10	-1	0.0	11.8	965	947	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				LT1	8.1	56.6	2	4	0	28.9	3.1	673	373	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				HT1	213.2	-36.5	2	10	0	0.0	11.8	965	947	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				LT1	57.0	54.7	2	4	100	28.9	3.1	673	373	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ca	TR022-Ca:LP-DIR-T	TR022-C				HT1	233.4	-28.6	2	10	100	0.0	11.8	965	947	K		hargrave 2018-03-02 11:57:39	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				LT1	220.8	47.9	2	5	-1	60.7	2.3	673	373	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				HT1	323.3	-39.3	2	7	-1	0.0	7.9	965	953	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				LT1	6.1	50.0	2	5	0	60.7	2.3	673	373	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				HT1	283.8	-55.5	2	7	0	0.0	7.9	965	953	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				LT1	46.7	51.7	2	5	100	60.7	2.3	673	373	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Da	TR022-Da:LP-DIR-T	TR022-D				HT1	289.8	-24.6	2	7	100	0.0	7.9	965	953	K		hargrave 2018-03-02 11:59:11	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				HT1	214.1	-54.9	2	14	100	0.0	5.1	965	933	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				LT1	46.1	44.9	2	5	100	136.7	2.1	673	373	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				HT1	175.3	-46.2	2	14	0	0.0	5.1	965	933	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				HT1	47.8	-45.1	2	14	-1	0.0	5.1	965	933	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				LT1	222.4	57.1	2	5	-1	136.7	2.1	673	373	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Ea	TR022-Ea:LP-DIR-T	TR022-E				LT1	13.2	45.0	2	5	0	136.7	2.1	673	373	K		hargrave 2018-03-02 12:00:46	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				HT1	163.1	-42.4	2	9	100	0.0	2.9	965	947	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				LT1	223.3	58.1	2	4	-1	68.1	1.3	623	373	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				HT1	85.5	-32.5	2	9	-1	0.0	2.9	965	947	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				LT1	1.9	45.9	2	4	0	68.1	1.3	623	373	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				HT1	151.7	-17.2	2	9	0	0.0	2.9	965	947	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Fa	TR022-Fa:LP-DIR-T	TR022-F				LT1	38.8	51.2	2	4	100	68.1	1.3	623	373	K		hargrave 2018-03-02 12:02:25	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				LT1	196.6	50.6	2	5	-1	30.7	2.4	673	373	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				HT1	358.1	-25.2	2	4	-1	0.0	16.0	961	955	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				LT1	21.5	55.7	2	5	0	30.7	2.4	673	373	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				HT1	235.6	-83.6	2	4	0	0.0	16.0	961	955	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				LT1	62.7	48.1	2	5	100	30.7	2.4	673	373	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ga	TR022-Ga:LP-DIR-T	TR022-G				HT1	289.3	-55.2	2	4	100	0.0	16.0	961	955	K		hargrave 2018-03-02 12:04:01	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ha	TR022-Ha:LP-DIR-T	TR022-H				LT1	20.3	54.5	2	5	100	44.9	5.0	673	373	K		hargrave 2018-03-02 12:05:32	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ha	TR022-Ha:LP-DIR-T	TR022-H				HT1	27.6	-60.2	2	13	0	0.0	17.4	965	938	K		hargrave 2018-03-02 12:05:32	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR022
TR022-Ha	TR022-Ha:LP-DIR-T	TR022-H				HT1	346.1	-46.9	2	13	100	0.0	17.4	965	938	K		hargrave 2018-03-02 12:05:32	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR022
TR022-Ha	TR022-Ha:LP-DIR-T	TR022-H				HT1	357.6	5.7	2	13	-1	0.0	17.4	965	938	K		hargrave 2018-03-02 12:05:32	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR022
TR022-Ha	TR022-Ha:LP-DIR-T	TR022-H				LT1	235.5	49.7	2	5	-1	44.9	5.0	673	373	K		hargrave 2018-03-02 12:05:32	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR022
